What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
31-40,Female,Employed,No,Yes,1-2 years,No,A significant role,Family pressure or support;Personal research and aspirations;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Political stability;Economic opportunities;Other,Language barriers;Social acceptance;Job uncertainty,Professional counseling,No change,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,Yes,Positive impact,Not Sure,Maybe,4
18-24,Male,Student,No,No,3-5 years,No,A significant role,Career mentors or teachers;Personal research and aspirations;Family pressure or support,Australia,Always,Higher education;Better living standards;Better job opportunities,Other;Social acceptance;Visa or immigration concerns,Hobbies or physical exercise,No,Visa or immigration process;Other;Educational qualification,Not sure,Not sure,Not Sure,Yes,2
18-24,Female,Freelancer,No,No,Permanently,Yes,No role at all,Social media and online success stories;Other;Personal research and aspirations,Canada,Rarely,Higher education;Desire for independence;Healthcare,Other;Social acceptance;Visa or immigration concerns,Hobbies or physical exercise,I’m not sure,Financial issues;Family pressure or support;Other,Not sure,Not sure,No,Maybe,1
31-40,Female,Employed,Yes,Not sure yet,Permanently,Maybe,No role at all,Career mentors or teachers;Friends or peer influence;Social media and online success stories,UK,Never,Economic opportunities;Better job opportunities;Healthcare,Cultural shock;Separation from family;Language barriers,Talking to family and friends,I’m not sure,Family pressure or support;Visa or immigration process;Job information or experience,No,Positive impact,Not Sure,Maybe,4
18-24,Female,Student,No,No,Less than 1 year,Yes,A minor role,Social media and online success stories;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Never,Desire for independence;Healthcare;Political stability,Separation from family;Cultural shock;Job uncertainty,Joining online forums,No change,All country Embassy is not in Bangladesh;Other;Educational qualification,No,Negative impact,Yes,Yes,5
25-30,Male,Unemployed,No,Yes,1-2 years,Yes,A moderate role,Other;Friends or peer influence;Family pressure or support,UK,Never,Better job opportunities;Higher education;Other,Cultural shock;Social acceptance;Language barriers,Professional counseling,Yes,Educational qualification;Other;Job information or experience,Not sure,Not sure,Yes,No,1
31-40,Male,Unemployed,No,No,Less than 1 year,Yes,A minor role,Family pressure or support;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Always,Political stability;Desire for independence;Better living standards,Language barriers;Job uncertainty;Social acceptance,Professional counseling,I’m not sure,Family pressure or support;Other;Visa or immigration process,Yes,No impact,No,Yes,5
18-24,Female,Student,No,No,Less than 1 year,Maybe,A minor role,Personal research and aspirations;Friends or peer influence;Family pressure or support,Canada,Rarely,Better job opportunities;Other;Better living standards,Separation from family;Job uncertainty;Social acceptance,Other,I’m not sure,Financial issues;Other;Family pressure or support,No,Negative impact,No,No,1
40 or above,Female,Employed,No,Not sure yet,Less than 1 year,Yes,No role at all,Friends or peer influence;Other;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Political stability;Other;Higher education,Language barriers;Other;Job uncertainty,Hobbies or physical exercise,I’m not sure,Visa or immigration process;All country Embassy is not in Bangladesh;Financial issues,Yes,No impact,No,Yes,4
18-24,Female,Student,Yes,Yes,Less than 1 year,No,A moderate role,Friends or peer influence;Family pressure or support;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Healthcare;Economic opportunities;Other,Job uncertainty;Other;Social acceptance,Talking to family and friends,No,Other;Financial issues;Job information or experience,Yes,Not sure,No,Maybe,5
18-24,Female,Student,No,No,1-2 years,No,No role at all,Social media and online success stories;Personal research and aspirations;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Political stability;Better living standards;Economic opportunities,Separation from family;Job uncertainty;Social acceptance,Professional counseling,I’m not sure,Financial issues;Job information or experience;Family pressure or support,Not sure,Not sure,Yes,Maybe,5
31-40,Male,Unemployed,No,No,3-5 years,No,A significant role,Friends or peer influence;Other;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Always,Political stability;Better job opportunities;Better living standards,Nothing,Talking to family and friends,No change,All country Embassy is not in Bangladesh;Educational qualification;Family pressure or support,Yes,No impact,Yes,Yes,1
18-24,Female,Student,Yes,Not sure yet,Permanently,Maybe,A significant role,Career mentors or teachers;Family pressure or support;Other,USA,Never,Economic opportunities;Healthcare;Desire for independence,Nothing,Other,I’m not sure,Family pressure or support;Financial issues;Job information or experience,Yes,Positive impact,No,No,5
40 or above,Female,Self-employed,No,Not sure yet,Less than 1 year,Yes,A moderate role,Friends or peer influence;Personal research and aspirations;Other,"Europe (e.g., Germany, Sweden)",Never,Healthcare;Other;Higher education,Social acceptance;Visa or immigration concerns;Job uncertainty,Professional counseling,Yes,Other;Family pressure or support;Educational qualification,Not sure,Negative impact,Not Sure,No,3
18-24,Female,Other,Yes,Not sure yet,1-2 years,No,A minor role,Personal research and aspirations;Family pressure or support;Career mentors or teachers,UK,Sometimes,Healthcare;Political stability;Better job opportunities,Nothing,Joining online forums,I’m not sure,Financial issues;Family pressure or support;Job information or experience,Not sure,Positive impact,Not Sure,Maybe,2
18-24,Female,Student,No,Not sure yet,Permanently,Maybe,A minor role,Other;Friends or peer influence;Personal research and aspirations,UK,Often,Better job opportunities;Other;Healthcare,Visa or immigration concerns;Other;Cultural shock,Joining online forums,I’m not sure,Job information or experience;Family pressure or support;Financial issues,No,Negative impact,Not Sure,Maybe,2
25-30,Female,Student,Yes,Not sure yet,3-5 years,No,A minor role,Other;Career mentors or teachers;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Always,Better job opportunities;Other;Higher education,Social acceptance;Other;Visa or immigration concerns,Professional counseling,I’m not sure,Educational qualification;Financial issues;Job information or experience,Not sure,No impact,Yes,Maybe,2
25-30,Male,Student,No,Not sure yet,3-5 years,Maybe,No role at all,Personal research and aspirations;Family pressure or support;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Rarely,Higher education;Better job opportunities;Desire for independence,Nothing,Joining online forums,I’m not sure,Job information or experience;Family pressure or support;Financial issues,Yes,Negative impact,Not Sure,Yes,4
18-24,Female,Freelancer,No,Not sure yet,1-2 years,Maybe,A minor role,Friends or peer influence;Personal research and aspirations;Career mentors or teachers,Australia,Always,Better living standards;Other;Better job opportunities,Visa or immigration concerns;Job uncertainty;Cultural shock,Talking to family and friends,Yes,Educational qualification;Other;Visa or immigration process,Yes,Negative impact,Not Sure,Maybe,3
18-24,Male,Student,No,Not sure yet,Less than 1 year,Maybe,A minor role,Personal research and aspirations;Career mentors or teachers;Other,"Middle East (e.g., UAE, Saudi Arabia)",Never,Political stability;Other;Higher education,Separation from family;Other;Job uncertainty,Other,I’m not sure,All country Embassy is not in Bangladesh;Other;Financial issues,No,No impact,Not Sure,Maybe,4
25-30,Female,Employed,Yes,Not sure yet,3-5 years,No,A minor role,Family pressure or support;Friends or peer influence;Other,"Middle East (e.g., UAE, Saudi Arabia)",Always,Other;Better job opportunities;Political stability,Separation from family;Visa or immigration concerns;Social acceptance,Professional counseling,Yes,All country Embassy is not in Bangladesh;Job information or experience;Educational qualification,Yes,Positive impact,No,Maybe,2
25-30,Female,Student,Yes,No,1-2 years,No,A moderate role,Personal research and aspirations;Family pressure or support;Social media and online success stories,UK,Never,Other;Political stability;Economic opportunities,Nothing,Other,No change,Financial issues;Family pressure or support;Educational qualification,No,Positive impact,Not Sure,Maybe,3
18-24,Male,Student,Yes,Yes,Permanently,Yes,A minor role,Personal research and aspirations;Other;Family pressure or support,Australia,Often,Other;Desire for independence;Higher education,Language barriers;Separation from family;Job uncertainty,Talking to family and friends,No,Educational qualification;Financial issues;Visa or immigration process,Not sure,Not sure,Yes,No,4
25-30,Female,Student,Yes,Yes,Permanently,Yes,No role at all,Career mentors or teachers;Social media and online success stories;Family pressure or support,Canada,Often,Economic opportunities;Better living standards;Higher education,Job uncertainty;Social acceptance;Language barriers,Joining online forums,Yes,Job information or experience;Financial issues;All country Embassy is not in Bangladesh,Not sure,No impact,Not Sure,Yes,4
18-24,Female,Student,Yes,Not sure yet,3-5 years,No,A moderate role,Family pressure or support;Social media and online success stories;Friends or peer influence,UK,Always,Desire for independence;Better job opportunities;Other,Nothing,Professional counseling,No change,Financial issues;Job information or experience;Educational qualification,Not sure,Not sure,Yes,No,5
40 or above,Male,Self-employed,No,Not sure yet,Permanently,Maybe,A minor role,Social media and online success stories;Friends or peer influence;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Always,Political stability;Economic opportunities;Healthcare,Nothing,Talking to family and friends,No change,Educational qualification;All country Embassy is not in Bangladesh;Family pressure or support,No,Negative impact,Not Sure,Yes,5
25-30,Female,Student,Yes,Yes,Permanently,No,No role at all,Social media and online success stories;Other;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Other;Better job opportunities;Healthcare,Separation from family;Cultural shock;Social acceptance,Hobbies or physical exercise,I’m not sure,Visa or immigration process;Educational qualification;Job information or experience,No,No impact,Yes,Yes,5
25-30,Male,Student,Yes,Not sure yet,3-5 years,Yes,A moderate role,Other;Friends or peer influence;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Rarely,Better living standards;Economic opportunities;Political stability,Nothing,Joining online forums,I’m not sure,Visa or immigration process;Family pressure or support;Other,Yes,Negative impact,No,No,2
18-24,Female,Student,No,Not sure yet,Less than 1 year,Maybe,A minor role,Personal research and aspirations;Other;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Often,Better living standards;Desire for independence;Better job opportunities,Language barriers;Job uncertainty;Separation from family,Other,No change,All country Embassy is not in Bangladesh;Other;Visa or immigration process,Not sure,Negative impact,No,No,2
40 or above,Male,Unemployed,No,No,1-2 years,Yes,A minor role,Career mentors or teachers;Personal research and aspirations;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Never,Economic opportunities;Other;Healthcare,Nothing,Other,No,Job information or experience;Other;Visa or immigration process,No,Positive impact,Not Sure,Yes,5
40 or above,Male,Employed,Yes,Yes,Less than 1 year,No,A significant role,Personal research and aspirations;Other;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Sometimes,Healthcare;Desire for independence;Political stability,Social acceptance;Job uncertainty;Visa or immigration concerns,Other,I’m not sure,Family pressure or support;Financial issues;Job information or experience,Yes,Positive impact,No,Maybe,4
18-24,Female,Unemployed,Yes,Not sure yet,3-5 years,No,A moderate role,Personal research and aspirations;Family pressure or support;Career mentors or teachers,UK,Never,Better living standards;Economic opportunities;Healthcare,Nothing,Hobbies or physical exercise,I’m not sure,Educational qualification;Visa or immigration process;Family pressure or support,Not sure,Not sure,Not Sure,No,4
40 or above,Male,Employed,Yes,Not sure yet,3-5 years,Yes,A moderate role,Other;Family pressure or support;Career mentors or teachers,UK,Sometimes,Other;Higher education;Better living standards,Language barriers;Other;Separation from family,Joining online forums,No change,Job information or experience;Other;All country Embassy is not in Bangladesh,Not sure,Positive impact,Yes,No,5
40 or above,Male,Freelancer,No,Yes,3-5 years,Maybe,No role at all,Other;Personal research and aspirations;Family pressure or support,Canada,Always,Economic opportunities;Better living standards;Political stability,Job uncertainty;Visa or immigration concerns;Other,Talking to family and friends,Yes,Other;Educational qualification;Financial issues,Not sure,No impact,Yes,Yes,4
25-30,Male,Student,Yes,Yes,1-2 years,Yes,No role at all,Other;Social media and online success stories;Career mentors or teachers,Australia,Never,Higher education;Desire for independence;Better living standards,Language barriers;Social acceptance;Separation from family,Joining online forums,No,Job information or experience;All country Embassy is not in Bangladesh;Educational qualification,Not sure,Positive impact,Yes,No,1
31-40,Female,Other,Yes,Not sure yet,1-2 years,No,A minor role,Family pressure or support;Friends or peer influence;Career mentors or teachers,UK,Never,Healthcare;Other;Political stability,Social acceptance;Language barriers;Job uncertainty,Professional counseling,Yes,Job information or experience;Family pressure or support;Educational qualification,No,Negative impact,Yes,Yes,4
31-40,Female,Employed,No,Not sure yet,1-2 years,Maybe,A significant role,Career mentors or teachers;Other;Family pressure or support,Australia,Never,Healthcare;Other;Better living standards,Job uncertainty;Visa or immigration concerns;Social acceptance,Other,No,Job information or experience;Educational qualification;Visa or immigration process,Not sure,Negative impact,Yes,Maybe,4
40 or above,Female,Other,Yes,Not sure yet,1-2 years,No,No role at all,Family pressure or support;Career mentors or teachers;Social media and online success stories,Australia,Often,Other;Better job opportunities;Healthcare,Language barriers;Cultural shock;Social acceptance,Hobbies or physical exercise,No change,Family pressure or support;Other;Educational qualification,No,Positive impact,Not Sure,No,1
25-30,Female,Student,No,No,3-5 years,Maybe,A minor role,Friends or peer influence;Personal research and aspirations;Family pressure or support,Canada,Never,Better job opportunities;Higher education;Other,Separation from family;Language barriers;Other,Joining online forums,I’m not sure,Family pressure or support;Other;Financial issues,Not sure,No impact,No,Maybe,5
18-24,Male,Unemployed,No,Yes,Permanently,Yes,A moderate role,Family pressure or support;Other;Friends or peer influence,UK,Sometimes,Better job opportunities;Other;Political stability,Social acceptance;Job uncertainty;Other,Professional counseling,No,Family pressure or support;Visa or immigration process;Job information or experience,Not sure,Not sure,Yes,No,1
31-40,Male,Unemployed,Yes,No,Permanently,Yes,A significant role,Social media and online success stories;Family pressure or support;Friends or peer influence,Australia,Never,Better job opportunities;Healthcare;Political stability,Other;Language barriers;Social acceptance,Other,No change,Job information or experience;Educational qualification;Family pressure or support,Not sure,Negative impact,Not Sure,No,3
18-24,Female,Student,Yes,No,1-2 years,Yes,No role at all,Family pressure or support;Other;Social media and online success stories,"Europe (e.g., Germany, Sweden)",Sometimes,Higher education;Desire for independence;Better job opportunities,Other;Job uncertainty;Language barriers,Hobbies or physical exercise,No change,Other;Educational qualification;Visa or immigration process,Not sure,Not sure,Yes,Maybe,5
18-24,Female,Student,Yes,Not sure yet,3-5 years,Maybe,A significant role,Friends or peer influence;Social media and online success stories;Career mentors or teachers,UK,Rarely,Healthcare;Political stability;Other,Other;Language barriers;Cultural shock,Hobbies or physical exercise,I’m not sure,Financial issues;Educational qualification;Job information or experience,Yes,Positive impact,Yes,Maybe,1
25-30,Female,Student,No,Not sure yet,Permanently,Yes,A minor role,Other;Friends or peer influence;Personal research and aspirations,"Europe (e.g., Germany, Sweden)",Never,Political stability;Economic opportunities;Other,Separation from family;Other;Job uncertainty,Other,I’m not sure,Educational qualification;Financial issues;Visa or immigration process,No,Negative impact,No,Yes,2
31-40,Female,Unemployed,No,Not sure yet,Permanently,No,A moderate role,Family pressure or support;Friends or peer influence;Career mentors or teachers,Canada,Always,Desire for independence;Other;Higher education,Job uncertainty;Language barriers;Other,Other,Yes,All country Embassy is not in Bangladesh;Family pressure or support;Job information or experience,Not sure,Positive impact,No,Maybe,1
18-24,Female,Student,Yes,Yes,Less than 1 year,Yes,No role at all,Family pressure or support;Social media and online success stories;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Never,Political stability;Other;Better living standards,Visa or immigration concerns;Separation from family;Other,Talking to family and friends,No change,Educational qualification;Family pressure or support;Visa or immigration process,Yes,Positive impact,No,Yes,3
25-30,Female,Student,Yes,Not sure yet,Less than 1 year,Maybe,A minor role,Social media and online success stories;Other;Career mentors or teachers,UK,Never,Higher education;Other;Better job opportunities,Nothing,Other,No,Financial issues;Other;Educational qualification,Yes,Not sure,Not Sure,Yes,4
25-30,Male,Freelancer,No,No,Permanently,Yes,A minor role,Other;Personal research and aspirations;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Higher education;Healthcare;Economic opportunities,Social acceptance;Language barriers;Visa or immigration concerns,Hobbies or physical exercise,Yes,Educational qualification;Job information or experience;Visa or immigration process,No,Positive impact,Not Sure,No,1
25-30,Female,Student,Yes,No,Permanently,Maybe,A moderate role,Social media and online success stories;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Economic opportunities;Healthcare;Better job opportunities,Job uncertainty;Separation from family;Cultural shock,Joining online forums,Yes,Job information or experience;Other;Family pressure or support,No,Positive impact,No,Yes,5
25-30,Female,Unemployed,Yes,No,1-2 years,Maybe,No role at all,Family pressure or support;Friends or peer influence;Social media and online success stories,Australia,Rarely,Higher education;Better job opportunities;Political stability,Social acceptance;Visa or immigration concerns;Cultural shock,Hobbies or physical exercise,Yes,All country Embassy is not in Bangladesh;Job information or experience;Family pressure or support,No,Positive impact,Not Sure,Maybe,5
18-24,Female,Freelancer,Yes,Yes,1-2 years,No,A moderate role,Other;Family pressure or support;Personal research and aspirations,UK,Sometimes,Desire for independence;Other;Political stability,Nothing,Hobbies or physical exercise,No change,Financial issues;Other;Visa or immigration process,Not sure,Positive impact,No,No,5
31-40,Male,Freelancer,No,Not sure yet,1-2 years,Maybe,A minor role,Other;Personal research and aspirations;Friends or peer influence,"Europe (e.g., Germany, Sweden)",Sometimes,Political stability;Healthcare;Economic opportunities,Social acceptance;Cultural shock;Job uncertainty,Hobbies or physical exercise,Yes,Financial issues;All country Embassy is not in Bangladesh;Educational qualification,No,Positive impact,Yes,Yes,5
18-24,Male,Other,No,Not sure yet,Permanently,Yes,No role at all,Other;Friends or peer influence;Personal research and aspirations,Australia,Rarely,Higher education;Political stability;Better job opportunities,Job uncertainty;Separation from family;Cultural shock,Professional counseling,No change,Visa or immigration process;Job information or experience;Educational qualification,No,Negative impact,Not Sure,No,2
18-24,Female,Student,No,No,3-5 years,Maybe,A significant role,Social media and online success stories;Other;Personal research and aspirations,USA,Always,Better living standards;Economic opportunities;Better job opportunities,Nothing,Professional counseling,No,Visa or immigration process;Other;All country Embassy is not in Bangladesh,Yes,Negative impact,Yes,Yes,4
40 or above,Male,Freelancer,Yes,Yes,Less than 1 year,Yes,No role at all,Career mentors or teachers;Family pressure or support;Personal research and aspirations,Australia,Never,Other;Better job opportunities;Desire for independence,Nothing,Joining online forums,No,Visa or immigration process;Family pressure or support;Other,Not sure,Not sure,Yes,Maybe,4
25-30,Female,Student,No,No,3-5 years,No,A minor role,Other;Family pressure or support;Social media and online success stories,Australia,Always,Better job opportunities;Political stability;Healthcare,Other;Separation from family;Visa or immigration concerns,Talking to family and friends,No change,Job information or experience;Family pressure or support;Visa or immigration process,No,No impact,Not Sure,No,1
18-24,Female,Freelancer,Yes,No,Permanently,Maybe,A moderate role,Friends or peer influence;Career mentors or teachers;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Never,Other;Better living standards;Economic opportunities,Nothing,Hobbies or physical exercise,No,Financial issues;All country Embassy is not in Bangladesh;Educational qualification,Not sure,Positive impact,No,Yes,3
25-30,Male,Student,No,Yes,Permanently,Maybe,A significant role,Personal research and aspirations;Family pressure or support;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Never,Healthcare;Desire for independence;Better job opportunities,Language barriers;Separation from family;Job uncertainty,Talking to family and friends,No change,Financial issues;Job information or experience;Educational qualification,No,Not sure,Yes,Maybe,1
18-24,Female,Student,No,No,Permanently,No,A significant role,Social media and online success stories;Friends or peer influence;Career mentors or teachers,Australia,Always,Better job opportunities;Healthcare;Higher education,Language barriers;Visa or immigration concerns;Cultural shock,Talking to family and friends,I’m not sure,Family pressure or support;All country Embassy is not in Bangladesh;Other,No,No impact,No,Yes,1
25-30,Female,Student,No,No,Less than 1 year,Maybe,A minor role,Other;Career mentors or teachers;Social media and online success stories,Canada,Never,Economic opportunities;Desire for independence;Better job opportunities,Other;Social acceptance;Job uncertainty,Other,I’m not sure,Family pressure or support;Educational qualification;Visa or immigration process,Yes,Positive impact,No,Maybe,5
18-24,Male,Student,No,Yes,Less than 1 year,No,No role at all,Career mentors or teachers;Family pressure or support;Friends or peer influence,UK,Rarely,Better living standards;Better job opportunities;Political stability,Language barriers;Cultural shock;Social acceptance,Joining online forums,I’m not sure,Job information or experience;Other;Educational qualification,Not sure,Negative impact,No,Maybe,4
18-24,Female,Employed,No,Not sure yet,Permanently,Yes,A minor role,Family pressure or support;Other;Social media and online success stories,Canada,Always,Other;Healthcare;Desire for independence,Cultural shock;Separation from family;Other,Professional counseling,Yes,Financial issues;Visa or immigration process;Educational qualification,No,Negative impact,Yes,Maybe,1
18-24,Female,Other,Yes,No,3-5 years,Maybe,A minor role,Family pressure or support;Career mentors or teachers;Friends or peer influence,"Middle East (e.g., UAE, Saudi Arabia)",Always,Political stability;Economic opportunities;Other,Cultural shock;Separation from family;Social acceptance,Hobbies or physical exercise,Yes,Visa or immigration process;Family pressure or support;Job information or experience,Not sure,No impact,Not Sure,No,5
25-30,Female,Self-employed,No,Yes,3-5 years,No,A significant role,Friends or peer influence;Other;Career mentors or teachers,"Europe (e.g., Germany, Sweden)",Never,Political stability;Higher education;Desire for independence,Nothing,Joining online forums,I’m not sure,All country Embassy is not in Bangladesh;Financial issues;Family pressure or support,No,Not sure,Yes,Yes,3
25-30,Female,Student,Yes,No,1-2 years,Yes,A significant role,Social media and online success stories;Career mentors or teachers;Other,UK,Sometimes,Better job opportunities;Better living standards;Healthcare,Cultural shock;Separation from family;Visa or immigration concerns,Hobbies or physical exercise,No,Family pressure or support;All country Embassy is not in Bangladesh;Job information or experience,No,Positive impact,Not Sure,No,2
18-24,Male,Student,Yes,No,Permanently,No,No role at all,Friends or peer influence;Family pressure or support;Career mentors or teachers,Canada,Rarely,Higher education;Economic opportunities;Better job opportunities,Other;Cultural shock;Language barriers,Other,Yes,Educational qualification;Other;Financial issues,No,Negative impact,Yes,No,3
25-30,Male,Unemployed,No,Not sure yet,Less than 1 year,Yes,A significant role,Friends or peer influence;Personal research and aspirations;Other,USA,Rarely,Higher education;Desire for independence;Healthcare,Visa or immigration concerns;Cultural shock;Job uncertainty,Other,No,Educational qualification;Financial issues;Family pressure or support,No,No impact,Yes,Maybe,5
25-30,Male,Student,Yes,Not sure yet,1-2 years,No,No role at all,Friends or peer influence;Career mentors or teachers;Family pressure or support,"Europe (e.g., Germany, Sweden)",Sometimes,Other;Better living standards;Political stability,Other;Social acceptance;Job uncertainty,Joining online forums,Yes,Other;Family pressure or support;Financial issues,Yes,Not sure,Yes,No,1
25-30,Male,Student,No,Not sure yet,Permanently,Maybe,A minor role,Friends or peer influence;Social media and online success stories;Other,Canada,Often,Better living standards;Higher education;Desire for independence,Separation from family;Social acceptance;Other,Talking to family and friends,No,Other;All country Embassy is not in Bangladesh;Educational qualification,Not sure,Positive impact,Yes,No,1
18-24,Male,Student,Yes,Yes,Less than 1 year,Yes,No role at all,Career mentors or teachers;Personal research and aspirations;Other,"Europe (e.g., Germany, Sweden)",Always,Better living standards;Political stability;Higher education,Other;Social acceptance;Visa or immigration concerns,Professional counseling,I’m not sure,All country Embassy is not in Bangladesh;Visa or immigration process;Job information or experience,Not sure,No impact,No,Yes,3
